nid,jname,,,,,,,
112,Dermatopathology,,,,,,,
113,Designs,,,,,,,
114,Diabetology,,,,,,,
115,Diagnostics,,,,,,,
116,Dietetics,,,,,,,
117,Digital,,,,,,,
118,Disabilities,,,,,,,
119,Diseases,,,,,,,
120,Diversity,,,,,,,
121,DNA,,,,,,,
122,Drones,,,,,,,
123,Drugs and Drug Candidates,,,,,,,
124,Dynamics,,,,,,,
125,Earth,,,,,,,
126,Ecologies,,,,,,,
127,Econometrics,,,,,,,
128,Economies,,,,,,,
129,Education Sciences,,,,,,,
130,Electricity,,,,,,,
131,Electrochem,,,,,,,
132,Electronic Materials,,,,,,,
133,Electronics,,,,,,,
134,Emergency Care and Medicine,,,,,,,
135,Encyclopedia,,,,,,,
136,Endocrines,,,,,,,
137,Energies,,,,,,,
138,Eng,,,,,,,
139,Engineering Proceedings *,,,,,,,
140,Entropy,,,,,,,
141,Environmental Sciences Proceedings *,,,,,,,
142,Environments,,,,,,,
143,Epidemiologia,,,,,,,
144,Epigenomes,,,,,,,
145,European Burn Journal,,,,,,,
146,"European Journal of Investigation in Health, Psychology and Education",,,,,,,
147,Fermentation,,,,,,,
148,Fibers,,,,,,,
149,FinTech,,,,,,,
150,Fire,,,,,,,
151,Fishes,,,,,,,
152,Fluids,,,,,,,
153,Foods,,,,,,,
154,Forecasting,,,,,,,
155,Forensic Sciences,,,,,,,
156,Forests,,,,,,,
157,Fossils,,,,,,,
158,Foundations,,,,,,,
159,Fractal and Fractional,,,,,,,
160,Fuels,,,,,,,
161,Future,,,,,,,
162,Future Internet,,,,,,,
163,Future Pharmacology,,,,,,,
164,Future Transportation,,,,,,,
165,Galaxies,,,,,,,
166,Games,,,,,,,
167,Gases,,,,,,,
168,Gastroenterology Insights,,,,,,,
169,Gastrointestinal Disorders,,,,,,,
170,Gastronomy,,,,,,,
171,Gels,,,,,,,
172,Genealogy,,,,,,,
173,Genes,,,,,,,
174,Geographies,,,,,,,
175,GeoHazards,,,,,,,
176,Geomatics,,,,,,,
177,Geosciences,,,,,,,
178,Geotechnics,,,,,,,
179,Geriatrics,,,,,,,
180,"Gout, Urate, and Crystal Deposition Disease",,,,,,,
181,Grasses,,,,,,,
182,Hardware,,,,,,,
183,Healthcare,,,,,,,
184,Hearts,,,,,,,
185,Hemato,,,,,,,
186,Hematology Reports,,,,,,,
187,Heritage,,,,,,,
188,Histories,,,,,,,
189,Horticulturae,,,,,,,
190,Hospitals,,,,,,,
191,Humanities,,,,,,,
192,Humans,,,,,,,
193,Hydrobiology,,,,,,,
194,Hydrogen,,,,,,,
195,Hydrology,,,,,,,
196,Hygiene,,,,,,,
197,Immuno,,,,,,,
198,Infectious Disease Reports,,,,,,,
199,Informatics,,,,,,,
200,Information,,,,,,,
201,Infrastructures,,,,,,,
202,Inorganics,,,,,,,
203,Insects,,,,,,,
204,Instruments,,,,,,,
205,International Journal of Environmental Research and Public Health,,,,,,,
206,International Journal of Financial Studies,,,,,,,
207,International Journal of Molecular Sciences,,,,,,,
208,International Journal of Neonatal Screening,,,,,,,
209,International Journal of Plant Biology,,,,,,,
210,International Journal of Translational Medicine,,,,,,,
211,"International Journal of Turbomachinery, Propulsion and Power",,,,,,,
212,International Medical Education,,,,,,,
213,Inventions,,,,,,,
214,IoT,,,,,,,
215,ISPRS International Journal of Geo-Information,,,,,,,
216,J,,,,,,,
217,Journal of Ageing and Longevity,,,,,,,
218,Journal of Cardiovascular Development and Disease,,,,,,,
219,Journal of Clinical & Translational Ophthalmology,,,,,,,
220,Journal of Clinical Medicine,,,,,,,
221,Journal of Composites Science,,,,,,,
222,Journal of Cybersecurity and Privacy,,,,,,,
223,Journal of Developmental Biology,,,,,,,
224,Journal of Experimental and Theoretical Analyses,,,,,,,
225,Journal of Functional Biomaterials,,,,,,,
226,Journal of Functional Morphology and Kinesiology,,,,,,,
227,Journal of Fungi,,,,,,,
228,Journal of Imaging,,,,,,,
229,Journal of Intelligence,,,,,,,
230,Journal of Low Power Electronics and Applications,,,,,,,
231,Journal of Manufacturing and Materials Processing,,,,,,,
232,Journal of Marine Science and Engineering,,,,,,,
233,Journal of Molecular Pathology,,,,,,,
234,Journal of Nanotheranostics,,,,,,,
235,Journal of Nuclear Engineering,,,,,,,
236,"Journal of Otorhinolaryngology, Hearing and Balance Medicine",,,,,,,
237,Journal of Personalized Medicine,,,,,,,
238,Journal of Respiration,,,,,,,
239,Journal of Risk and Financial Management,,,,,,,
240,Journal of Sensor and Actuator Networks,,,,,,,
241,Journal of Theoretical and Applied Electronic Commerce Research,,,,,,,
242,Journal of Vascular Diseases,,,,,,,
243,Journal of Xenobiotics,,,,,,,
244,Journal of Zoological and Botanical Gardens,,,,,,,
245,Journalism and Media,,,,,,,
246,Kidney and Dialysis,,,,,,,
247,Kinases and Phosphatases,,,,,,,
248,Knowledge,,,,,,,
249,Land,,,,,,,
250,Languages,,,,,,,
251,Laws,,,,,,,
252,Life,,,,,,,
253,Limnological Review,,,,,,,
254,Liquids,,,,,,,
255,Literature,,,,,,,
256,Livers,,,,,,,
257,Logics,,,,,,,
258,Logistics,,,,,,,
259,Lubricants,,,,,,,
260,Lymphatics,,,,,,,
261,Machine Learning and Knowledge Extraction,,,,,,,
262,Machines,,,,,,,
263,Macromol,,,,,,,
264,Magnetism,,,,,,,
265,Magnetochemistry,,,,,,,
266,Marine Drugs,,,,,,,
267,Materials,,,,,,,
268,Materials Proceedings *,,,,,,,
269,Mathematical and Computational Applications,,,,,,,
270,Mathematics,,,,,,,
271,Medical Sciences,,,,,,,
272,Medical Sciences Forum *,,,,,,,
273,Medicina,,,,,,,
274,Medicines,,,,,,,
275,Membranes,,,,,,,
276,Merits,,,,,,,
277,Metabolites,,,,,,,
278,Metals,,,,,,,
279,Meteorology,,,,,,,
280,Methane,,,,,,,
281,Methods and Protocols,,,,,,,
282,Metrology,,,,,,,
283,Micro,,,,,,,
284,Microbiology Research,,,,,,,
285,Micromachines,,,,,,,
286,Microorganisms,,,,,,,
287,Microplastics,,,,,,,
288,Minerals,,,,,,,
289,Mining,,,,,,,
290,Modelling,,,,,,,
291,Molbank,,,,,,,
292,Molecules,,,,,,,
293,Multimodal Technologies and Interaction,,,,,,,
294,Muscles,,,,,,,
295,Nanoenergy Advances,,,,,,,
296,Nanomanufacturing,,,,,,,
297,Nanomaterials,,,,,,,
298,NDT,,,,,,,
299,Network,,,,,,,
300,Neuroglia,,,,,,,
301,Neurology International,,,,,,,
302,NeuroSci,,,,,,,
303,Nitrogen,,,,,,,
304,Non-Coding RNA,,,,,,,
305,Nursing Reports,,,,,,,
306,Nutraceuticals,,,,,,,
307,Nutrients,,,,,,,
308,Obesities,,,,,,,
309,Oceans,,,,,,,
310,Onco,,,,,,,
311,Optics,,,,,,,
312,Oral,,,,,,,
313,Organics,,,,,,,
314,Organoids,,,,,,,
315,Osteology,,,,,,,
316,Oxygen,,,,,,,
317,Parasitologia,,,,,,,
318,Particles,,,,,,,
319,Pathogens,,,,,,,
320,Pathophysiology,,,,,,,
321,Pediatric Reports,,,,,,,
322,Pharmaceuticals,,,,,,,
323,Pharmaceutics,,,,,,,
324,Pharmacoepidemiology,,,,,,,
325,Pharmacy,,,,,,,
326,Philosophies,,,,,,,
327,Photochem,,,,,,,
328,Photonics,,,,,,,
329,Phycology,,,,,,,
330,Physchem,,,,,,,
331,Physical Sciences Forum *,,,,,,,
332,Physics,,,,,,,
333,Physiologia,,,,,,,
334,Plants,,,,,,,
335,Plasma,,,,,,,
336,Platforms,,,,,,,
337,Pollutants,,,,,,,
338,Polymers,,,,,,,
339,Polysaccharides,,,,,,,
340,Poultry,,,,,,,
341,Powders,,,,,,,
342,Proceedings *,,,,,,,
343,Processes,,,,,,,
344,Prosthesis,,,,,,,
345,Proteomes,,,,,,,
346,Psych,,,,,,,
347,Psychiatry International,,,,,,,
348,Psychoactives,,,,,,,
349,Publications,,,,,,,
350,Quantum Beam Science,,,,,,,
351,Quantum Reports,,,,,,,
352,Quaternary,,,,,,,
353,Radiation,,,,,,,
354,Reactions,,,,,,,
355,Real Estate,,,,,,,
356,Receptors,,,,,,,
357,Recycling,,,,,,,
358,Religions,,,,,,,
359,Remote Sensing,,,,,,,
360,Reports,,,,,,,
361,Reproductive Medicine,,,,,,,
362,Resources,,,,,,,
363,Rheumato,,,,,,,
364,Risks,,,,,,,
365,Robotics,,,,,,,
366,Ruminants,,,,,,,
367,Safety,,,,,,,
368,Sci,,,,,,,
369,Scientia Pharmaceutica,,,,,,,
370,Sclerosis,,,,,,,
371,Seeds,,,,,,,
372,Sensors,,,,,,,
373,Separations,,,,,,,
374,Sexes,,,,,,,
375,Signals,,,,,,,
376,Sinusitis,,,,,,,
377,Smart Cities,,,,,,,
378,Social Sciences,,,,,,,
379,Societies,,,,,,,
380,Software,,,,,,,
381,Soil Systems,,,,,,,
382,Solar,,,,,,,
383,Solids,,,,,,,
384,Spectroscopy Journal,,,,,,,
385,Sports,,,,,,,
386,Standards,,,,,,,
387,Stats,,,,,,,
388,Stresses,,,,,,,
389,Surfaces,,,,,,,
390,Surgeries,,,,,,,
391,Surgical Techniques Development,,,,,,,
392,Sustainability,,,,,,,
393,Sustainable Chemistry,,,,,,,
394,Symmetry,,,,,,,
395,SynBio,,,,,,,
396,Systems,,,,,,,
397,Targets,,,,,,,
398,Taxonomy,,,,,,,
399,Technologies,,,,,,,
400,Telecom,,,,,,,
401,Textiles,,,,,,,
402,Thalassemia Reports,,,,,,,
403,Thermo,,,,,,,
404,Tomography,,,,,,,
405,Tourism and Hospitality,,,,,,,
406,Toxics,,,,,,,
407,Toxins,,,,,,,
408,Transplantology,,,,,,,
409,Trauma Care,,,,,,,
410,Trends in Higher Education,,,,,,,
411,Tropical Medicine and Infectious Disease,,,,,,,
412,Universe,,,,,,,
413,Urban Science,,,,,,,
414,Uro,,,,,,,
415,Vaccines,,,,,,,
416,Vehicles,,,,,,,
417,Venereology,,,,,,,
418,Veterinary Sciences,,,,,,,
419,Vibration,,,,,,,
420,Virtual Worlds,,,,,,,
421,Viruses,,,,,,,
422,Vision,,,,,,,
423,Waste,,,,,,,
424,Water,,,,,,,
425,Wind,,,,,,,
426,Women,,,,,,,
427,World,,,,,,,
428,World Electric Vehicle Journal,,,,,,,
429,Youth,,,,,,,
430,Zoonotic Diseases,,,,,,,
